,product_asin,product_name,product_category,overall_rating,review_keyword,user_rating,review_date,review_place,review_title,review_text,finds_helpful
10,B00842LTE2,Kikkoman Oyster Flavored Sauce-Red Label,oyester_sauce,4.6,taste,5.0,"June 26, 2023",United States,Yum,Save a lot buying larger container & taste great,0
11,B00842LTE2,Kikkoman Oyster Flavored Sauce-Red Label,oyester_sauce,4.6,taste,5.0,"April 27, 2023",United States,it tasted good,seasoning A+++,0
12,B00842LTE2,Kikkoman Oyster Flavored Sauce-Red Label,oyester_sauce,4.6,taste,5.0,"April 10, 2023",United States,Great Flavor,Makes my home cooked meals taste like restaurant quality but healthier. Glad a made the purchase.,0
13,B00842LTE2,Kikkoman Oyster Flavored Sauce-Red Label,oyester_sauce,4.6,taste,2.0,"March 31, 2023",United States,Terrible Tasting,"I wanted oyster sauce, not flavored sauce, but I couldn't find any for sale.I bought Kikkoman oyster flavored sauce as I have used and liked their products in the past.NEVER again. This item is terrible tasting.I don't want to throw it out, so it will take a loooong time to get through it.The prior time I bought LKK Lee Kim Panda Oyster Flavored Sauce - 5 lb.It is better tasting than the rest.I finished the huge container within 2 weeks!",2
14,B00842LTE2,Kikkoman Oyster Flavored Sauce-Red Label,oyester_sauce,4.6,taste,5.0,"March 17, 2023",United States,Great for Cooking,"We live in South Carolina and have a hard time finding Asian foods. Walmart has Oyster Sauce in a tiny little bottle for like $5 - we can use that up in a week. Saw this on Amazon. Kikkoman is trusted brand, but I've never tried their Oyster Sauce before. It's Good. It says 5 lbs. but it's an 80 ounce plastic jug - that's 10 Cups for under $20 delivered. This will last a while and it does taste great.",1
15,B00842LTE2,Kikkoman Oyster Flavored Sauce-Red Label,oyester_sauce,4.6,taste,5.0,"September 30, 2022",United States,This is Tasty Sauce!,"I saw a YouTube video on making fried rice.  The cook recommended using oyster sauce.  He assured viewers that is doesn't taste like oysters.  It is a ""yumcious"", slightly thick, salty brown sauce. The background flavor is unidentifiable - it doesn't taste like chicken, lamb, beef, etc. It is something else but in the same meat family, not in the seafood family.  I used it on a wild rice stir fry.  I used about a tablespoon for 1.5 cups of rice.  It was delicious!  Next time though I will use a slightly smaller amount as I don't use a lot of salt on my food.  When you go to a Chinese restaurant and dishes are presented with a brown sauce that is indescribably delicious, I think that oyster sauce must be the base.  I'd always wondered how they made the sauce.  Secret uncovered - it's oyster sauce.  My husband has the palate of an 8 year old boy - meat and potatoes - he loved the chicken piece I made him try :)",5
16,B00842LTE2,Kikkoman Oyster Flavored Sauce-Red Label,oyester_sauce,4.6,taste,5.0,"September 21, 2022",United States,Good stuff reasonably priced,"Fried rice, lo mein, or use your imagination. Oyster sauce is a must add for many Asian flavored meals, when mixed with other Asian flavors such as soy and toasted sesame oil. Chinese restaurants tend to use spices sparingly but when your the chief at home add to taste for rich flavoring your sure to enjoy with every bite.",1
17,B00842LTE2,Kikkoman Oyster Flavored Sauce-Red Label,oyester_sauce,4.6,taste,5.0,"August 17, 2022",United States,Oyster sauce,Great taste,0
18,B00842LTE2,Kikkoman Oyster Flavored Sauce-Red Label,oyester_sauce,4.6,taste,5.0,"February 25, 2022",United States,Flavorful,I usually buy Lee Kum Kee brand of oyster sauce but this brand blows it out of water. This one is much more flavorful and makes my meals taste absolutely delicious. I refuse to buy the other brand and went searching for this brand. So glad I found it again.,3
19,B00842LTE2,Kikkoman Oyster Flavored Sauce-Red Label,oyester_sauce,4.6,taste,5.0,"November 5, 2021",United States,"Good.  Much better than other ""oyster"" sauces.","I dislike nothing.  There is nothing artificial or flavor enhancers in this...unless if you consider yeast to be a flavor enhancer.  Tasty!!It is difficult if not impossible to find oyster sauce or any oriental sauces that doesn't have flavor enhancers or msg, or stuff like gum and preservatives... totally unnecessary and make the sauce feel tacky and taste tacky.  These stuff ruins the sauces!I am glad that Kikkoman offer this version with no msg, as it offers one with msg as well.  Yay Kikkoman 👍",3
20,B00842LTE2,Kikkoman Oyster Flavored Sauce-Red Label,oyester_sauce,4.6,taste,1.0,"July 14, 2021",United States,nasty,This stuff tastes awful.  I poured it own the drain.  Waste of money.  If I could give it 0 stars I would.,1
21,B00842LTE2,Kikkoman Oyster Flavored Sauce-Red Label,oyester_sauce,4.6,taste,5.0,"May 4, 2021",United States,Oyster Sauce is my favorite ingredient of all time.,I cook and barbeque with it. It is the one thing I need more than salt. Makes everything taste better.,3
22,B00842LTE2,Kikkoman Oyster Flavored Sauce-Red Label,oyester_sauce,4.6,taste,5.0,"January 23, 2021",United States,taste,cooking,0
23,B00842LTE2,Kikkoman Oyster Flavored Sauce-Red Label,oyester_sauce,4.6,taste,5.0,"December 5, 2020",United States,Best tasting Oyster Sauce I've ever had.,Quality product with rich taste and thickness unlike others. Love it!,3
24,B00842LTE2,Kikkoman Oyster Flavored Sauce-Red Label,oyester_sauce,4.6,taste,5.0,"November 20, 2020",United States,My First Oyster Sauce,"This is the first time I have ever cooked with oyster sauce. It is so delicious, I put a teaspoon of this in fried rice, everyday for lunch during COVID, and it makes it taste absolutely amazing, especially with my green onion, garlic, ponzu, turmeric, egg, rice, sesame oil, fried rice. I eat this for lunch almost every work day.",4
25,B00842LTE2,Kikkoman Oyster Flavored Sauce-Red Label,oyester_sauce,4.6,taste,1.0,"September 25, 2020",United States,"Oyster ""flavored"" sauce","As others have mentioned, I got 2 bottles oyster ""flavored"" sauce, NOT as depicted.  It was well wrapped, but the wrapping had an adhesive that removed half the writing on the bottle, so I can't read the ingredients.  Have not tried it yet, so can't opine on the taste.",6
26,B00842LTE2,Kikkoman Oyster Flavored Sauce-Red Label,oyester_sauce,4.6,taste,4.0,"July 4, 2020",United States,It taste like a good oyster sauce Should,Chinese stir fries,2
27,B00842LTE2,Kikkoman Oyster Flavored Sauce-Red Label,oyester_sauce,4.6,taste,5.0,"July 1, 2020",United States,Panic when I can't find it,"I have been using Kikkoman oyster sauce for years.  It adds great flavor to many of the Asian dishes, I make.  For me it's one of the main ingredients.  I try to keep at least 3 bottles in pantry.  During the virus. I ran out of the oyster sauce, all big chain stores were wiped out.  Finally  I found small produce got 2 bottles, and my husband ordered on line with Amazon.  You want great taste (KIKKOMAN OYSTER SAUCE) the BEST.",8
28,B00842LTE2,Kikkoman Oyster Flavored Sauce-Red Label,oyester_sauce,4.6,taste,5.0,"June 8, 2020",United States,"What's not to love, it's Kikkomans?",I.ve never been disappointed with K. before. Can't wait to taste my next creation. Thanks for making this easy Amazon.,0
29,B00842LTE2,Kikkoman Oyster Flavored Sauce-Red Label,oyester_sauce,4.6,taste,5.0,"October 23, 2016",United States,Delicious.,I bought this because my local store was out of my usual brand. It arrived damaged but after washing it off and refrigerating it it tastes delicious.,5
30,B00842LTE2,Kikkoman Oyster Flavored Sauce-Red Label,oyester_sauce,4.6,taste,5.0,"October 12, 2016",United States,Five Stars,Taste good!,0
